server_id,server_name,location_id,hire_date,tenure_band
5001,Elle D.,1,2026-06-29,under_3mo
5002,Tess T.,1,2019-06-20,over_3yr
5003,Omar L.,1,2023-04-08,over_3yr
5004,Quinn G.,1,2026-06-18,under_3mo
5005,Lena V.,1,2024-09-12,1_3yr
5006,Ben T.,1,2023-11-27,1_3yr
5007,Kai Z.,1,2025-12-23,3_12mo
5008,Elle T.,1,2026-01-22,3_12mo
5009,Lena C.,1,2025-10-03,3_12mo
5010,Dev N.,1,2026-04-21,under_3mo
5011,Sam Z.,1,2023-03-15,over_3yr
5012,Nora K.,1,2024-03-12,1_3yr
5013,Iris Z.,1,2025-10-02,3_12mo
5014,Milo W.,1,2025-01-18,1_3yr
5015,Jonah B.,1,2025-03-24,1_3yr
5016,Gia P.,2,2020-01-31,over_3yr
5017,Rosa F.,2,2026-07-03,under_3mo
5018,Tess M.,2,2026-06-07,under_3mo
5019,Iris O.,2,2024-09-13,1_3yr
5020,Milo M.,2,2026-04-25,under_3mo
5021,Ben H.,2,2016-11-18,over_3yr
5022,Ben D.,2,2026-01-17,3_12mo
5023,Rosa H.,2,2022-10-02,over_3yr
5024,Kai U.,2,2024-06-27,1_3yr
5025,Omar S.,2,2024-03-25,1_3yr
5026,Nora J.,2,2025-09-18,3_12mo
5027,Kai V.,2,2024-11-27,1_3yr
5028,Ana G.,2,2025-08-19,3_12mo
5029,Omar V.,2,2024-07-13,1_3yr
5030,Pia G.,2,2026-04-02,3_12mo
5031,Tess N.,3,2025-07-31,3_12mo
5032,Cleo U.,3,2025-10-19,3_12mo
5033,Jonah N.,3,2025-10-24,3_12mo
5034,Jonah F.,3,2016-12-24,over_3yr
5035,Pia X.,3,2025-11-25,3_12mo
5036,Omar K.,3,2023-10-12,1_3yr
5037,Quinn W.,3,2024-04-26,1_3yr
5038,Ana Z.,3,2023-03-13,over_3yr
5039,Quinn U.,3,2024-07-26,1_3yr
5040,Sam S.,3,2026-07-17,under_3mo
5041,Cleo N.,3,2026-07-02,under_3mo
5042,Quinn S.,3,2024-06-25,1_3yr
5043,Hugo J.,3,2026-06-24,under_3mo
5044,Elle L.,3,2019-07-08,over_3yr
5045,Iris F.,3,2024-09-05,1_3yr
5046,Elle P.,4,2026-06-11,under_3mo
5047,Ben E.,4,2025-10-17,3_12mo
5048,Ana X.,4,2025-01-07,1_3yr
5049,Pia H.,4,2022-02-20,over_3yr
5050,Gia H.,4,2024-10-05,1_3yr
5051,Hugo Y.,4,2026-01-05,3_12mo
5052,Iris H.,4,2026-06-07,under_3mo
5053,Pia Y.,4,2025-05-17,1_3yr
5054,Cleo P.,4,2024-01-16,1_3yr
5055,Elle Y.,4,2017-08-27,over_3yr
5056,Sam D.,4,2025-03-04,1_3yr
5057,Tess C.,4,2023-07-09,over_3yr
5058,Gia K.,4,2025-12-03,3_12mo
5059,Elle P.,4,2026-01-07,3_12mo
5060,Hugo M.,4,2026-05-19,under_3mo
5061,Lena L.,5,2017-10-30,over_3yr
5062,Omar O.,5,2025-08-19,3_12mo
5063,Jonah H.,5,2023-01-13,over_3yr
5064,Milo G.,5,2024-01-21,1_3yr
5065,Lena Y.,5,2026-05-18,under_3mo
5066,Hugo U.,5,2020-06-02,over_3yr
5067,Lena O.,5,2025-08-14,3_12mo
5068,Nora N.,5,2023-12-13,1_3yr
5069,Iris E.,5,2026-06-16,under_3mo
5070,Rosa M.,5,2024-05-08,1_3yr
5071,Nora W.,5,2024-10-20,1_3yr
5072,Gia O.,5,2026-01-27,3_12mo
5073,Jonah J.,5,2024-03-19,1_3yr
5074,Jonah X.,5,2026-07-15,under_3mo
5075,Dev I.,5,2025-08-25,3_12mo
5076,Ana N.,6,2026-04-15,3_12mo
5077,Omar V.,6,2025-04-09,1_3yr
5078,Hugo O.,6,2023-12-13,1_3yr
5079,Jonah D.,6,2021-08-08,over_3yr
5080,Elle V.,6,2024-06-01,1_3yr
5081,Milo J.,6,2026-06-24,under_3mo
5082,Rosa Y.,6,2025-09-03,3_12mo
5083,Iris O.,6,2026-02-08,3_12mo
5084,Jonah Y.,6,2021-12-23,over_3yr
5085,Pia L.,6,2026-05-15,under_3mo
5086,Sam X.,6,2023-10-29,1_3yr
5087,Jonah O.,6,2021-07-11,over_3yr
5088,Lena F.,6,2026-06-27,under_3mo
5089,Ben F.,6,2026-01-04,3_12mo
5090,Dev Y.,6,2025-03-18,1_3yr
5091,Elle U.,7,2025-12-16,3_12mo
5092,Hugo C.,7,2026-05-25,under_3mo
5093,Rosa Q.,7,2024-04-09,1_3yr
5094,Finn B.,7,2024-10-31,1_3yr
5095,Omar M.,7,2020-03-22,over_3yr
5096,Iris G.,7,2026-04-30,under_3mo
5097,Rosa A.,7,2026-04-12,3_12mo
5098,Iris R.,7,2024-08-21,1_3yr
5099,Lena T.,7,2024-10-02,1_3yr
5100,Iris C.,7,2018-04-15,over_3yr
5101,Sam W.,7,2018-03-27,over_3yr
5102,Quinn B.,7,2026-06-22,under_3mo
5103,Hugo Q.,7,2025-12-22,3_12mo
5104,Quinn A.,7,2026-04-01,3_12mo
5105,Kai F.,7,2025-04-12,1_3yr
5106,Milo G.,8,2025-06-22,1_3yr
5107,Jonah G.,8,2026-03-18,3_12mo
5108,Omar X.,8,2022-05-10,over_3yr
5109,Finn T.,8,2022-06-17,over_3yr
5110,Ana O.,8,2018-05-31,over_3yr
5111,Ana K.,8,2026-05-16,under_3mo
5112,Cleo B.,8,2026-06-19,under_3mo
5113,Rosa H.,8,2024-03-06,1_3yr
5114,Dev S.,8,2026-01-16,3_12mo
5115,Pia K.,8,2025-11-05,3_12mo
5116,Ana S.,8,2025-01-22,1_3yr
5117,Quinn A.,8,2026-04-26,under_3mo
5118,Ben X.,8,2025-10-06,3_12mo
5119,Kai I.,8,2024-05-03,1_3yr
5120,Ben N.,8,2024-06-12,1_3yr
5121,Dev I.,9,2021-10-27,over_3yr
5122,Ben U.,9,2020-03-06,over_3yr
5123,Elle K.,9,2023-12-06,1_3yr
5124,Cleo S.,9,2025-12-22,3_12mo
5125,Hugo J.,9,2026-07-11,under_3mo
5126,Iris A.,9,2024-01-12,1_3yr
5127,Rosa U.,9,2025-10-15,3_12mo
5128,Finn Y.,9,2025-10-27,3_12mo
5129,Sam T.,9,2023-12-15,1_3yr
5130,Milo X.,9,2026-03-18,3_12mo
5131,Jonah H.,9,2024-04-10,1_3yr
5132,Gia W.,9,2026-07-04,under_3mo
5133,Tess N.,9,2024-06-04,1_3yr
5134,Cleo H.,9,2017-09-18,over_3yr
5135,Milo D.,9,2026-06-04,under_3mo
5136,Hugo G.,10,2025-07-29,3_12mo
5137,Kai F.,10,2023-10-18,1_3yr
5138,Dev H.,10,2026-06-05,under_3mo
5139,Elle W.,10,2021-01-31,over_3yr
5140,Lena R.,10,2023-10-09,1_3yr
5141,Lena O.,10,2025-08-21,3_12mo
5142,Pia D.,10,2024-04-17,1_3yr
5143,Pia Q.,10,2025-11-13,3_12mo
5144,Quinn V.,10,2024-07-04,1_3yr
5145,Lena J.,10,2024-08-06,1_3yr
5146,Ben J.,10,2026-06-29,under_3mo
5147,Cleo V.,10,2025-09-28,3_12mo
5148,Iris L.,10,2017-05-05,over_3yr
5149,Hugo E.,10,2026-07-15,under_3mo
5150,Kai C.,10,2018-05-17,over_3yr
5151,Dev G.,11,2026-06-18,under_3mo
5152,Finn I.,11,2023-09-07,1_3yr
5153,Tess K.,11,2025-08-04,3_12mo
5154,Iris T.,11,2025-07-16,1_3yr
5155,Elle S.,11,2026-04-05,3_12mo
5156,Pia L.,11,2026-01-18,3_12mo
5157,Rosa Q.,11,2025-04-10,1_3yr
5158,Lena A.,11,2026-06-16,under_3mo
5159,Sam J.,11,2024-08-29,1_3yr
5160,Finn U.,11,2025-11-26,3_12mo
5161,Lena S.,11,2020-04-22,over_3yr
5162,Milo S.,11,2023-08-02,1_3yr
5163,Gia Y.,11,2017-04-16,over_3yr
5164,Hugo T.,11,2026-07-02,under_3mo
5165,Lena R.,11,2022-07-29,over_3yr
5166,Sam V.,12,2026-06-29,under_3mo
5167,Milo J.,12,2023-08-23,1_3yr
5168,Lena E.,12,2026-05-27,under_3mo
5169,Cleo K.,12,2024-10-26,1_3yr
5170,Jonah P.,12,2026-02-13,3_12mo
5171,Omar N.,12,2025-09-17,3_12mo
5172,Iris K.,12,2025-08-15,3_12mo
5173,Iris Q.,12,2021-03-13,over_3yr
5174,Dev O.,12,2024-05-05,1_3yr
5175,Hugo L.,12,2019-02-10,over_3yr
5176,Nora U.,12,2026-06-21,under_3mo
5177,Nora P.,12,2023-11-25,1_3yr
5178,Milo Y.,12,2023-01-02,over_3yr
5179,Sam N.,12,2025-12-24,3_12mo
5180,Lena E.,12,2024-01-19,1_3yr
5181,Hugo H.,13,2024-08-18,1_3yr
5182,Elle C.,13,2026-06-28,under_3mo
5183,Iris M.,13,2025-09-09,3_12mo
5184,Ana B.,13,2024-02-01,1_3yr
5185,Ana F.,13,2024-12-29,1_3yr
5186,Iris D.,13,2026-02-14,3_12mo
5187,Dev B.,13,2018-01-26,over_3yr
5188,Hugo L.,13,2026-06-05,under_3mo
5189,Ben Z.,13,2024-07-05,1_3yr
5190,Elle C.,13,2022-01-27,over_3yr
5191,Ana U.,13,2025-09-22,3_12mo
5192,Lena H.,13,2025-08-14,3_12mo
5193,Ben H.,13,2026-05-09,under_3mo
5194,Dev Z.,13,2024-03-22,1_3yr
5195,Quinn V.,13,2018-03-10,over_3yr
5196,Cleo E.,14,2020-12-10,over_3yr
5197,Cleo S.,14,2025-08-26,3_12mo
5198,Dev Y.,14,2025-09-03,3_12mo
5199,Iris N.,14,2025-09-27,3_12mo
5200,Elle N.,14,2026-07-12,under_3mo
5201,Cleo N.,14,2020-04-26,over_3yr
5202,Rosa H.,14,2017-01-23,over_3yr
5203,Tess D.,14,2024-02-24,1_3yr
5204,Omar I.,14,2024-02-07,1_3yr
5205,Jonah M.,14,2026-06-30,under_3mo
5206,Nora J.,14,2026-06-22,under_3mo
5207,Cleo X.,14,2025-10-12,3_12mo
5208,Pia G.,14,2023-09-18,1_3yr
5209,Cleo R.,14,2024-07-17,1_3yr
5210,Rosa K.,14,2024-11-08,1_3yr
5211,Dev C.,15,2025-12-05,3_12mo
5212,Iris K.,15,2026-05-16,under_3mo
5213,Nora C.,15,2023-10-07,1_3yr
5214,Gia G.,15,2024-09-28,1_3yr
5215,Sam H.,15,2026-03-31,3_12mo
5216,Ana E.,15,2016-10-16,over_3yr
5217,Jonah X.,15,2024-05-07,1_3yr
5218,Ben C.,15,2024-06-07,1_3yr
5219,Jonah W.,15,2021-02-04,over_3yr
5220,Ana G.,15,2026-05-03,under_3mo
5221,Nora A.,15,2018-10-31,over_3yr
5222,Pia A.,15,2026-05-06,under_3mo
5223,Cleo S.,15,2025-10-12,3_12mo
5224,Gia B.,15,2025-09-05,3_12mo
5225,Nora K.,15,2025-06-18,1_3yr
5226,Hugo Y.,16,2026-04-09,3_12mo
5227,Ben G.,16,2025-04-17,1_3yr
