id,first_name,last_name,email,country,signup_date,acquisition_channel,is_active
1,Michael,Moore,michael.moore1@example.com,US,2024-02-27,referral,True
2,John,Harris,john.harris2@example.com,UK,2023-07-30,social,True
3,Michael,Hernandez,michael.hernandez3@example.com,US,2022-12-12,email,True
4,Ashley,Hernandez,ashley.hernandez4@example.com,US,2023-03-23,organic,False
5,Timothy,Jones,timothy.jones5@example.com,US,2022-11-20,direct,True
6,Jennifer,Garcia,jennifer.garcia6@example.com,FR,2022-05-26,paid_search,True
7,Robert,Jackson,robert.jackson7@example.com,MX,2023-03-17,email,True
8,Jacob,Williams,jacob.williams8@example.com,JP,2022-11-09,social,True
9,Kathleen,Wilson,kathleen.wilson9@example.com,BR,2023-09-16,direct,True
10,Kenneth,Smith,kenneth.smith10@example.com,CA,2024-02-27,direct,True
11,Debra,Wright,debra.wright11@example.com,FR,2024-03-26,direct,True
12,Gary,King,gary.king12@example.com,FR,2023-03-06,social,True
13,Dennis,Adams,dennis.adams13@example.com,US,2024-01-14,organic,False
14,Gregory,Taylor,gregory.taylor14@example.com,US,2022-12-09,social,True
15,Elizabeth,Campbell,elizabeth.campbell15@example.com,UK,2023-02-01,email,True
16,Robert,Gonzalez,robert.gonzalez16@example.com,DE,2022-04-01,direct,True
17,Amanda,Anderson,amanda.anderson17@example.com,CA,2023-06-29,email,True
18,Linda,Green,linda.green18@example.com,US,2023-05-22,direct,True
19,Anna,Walker,anna.walker19@example.com,US,2022-06-07,email,True
20,Dennis,Robinson,dennis.robinson20@example.com,US,2022-01-11,paid_search,True
21,Robert,Taylor,robert.taylor21@example.com,JP,2022-12-27,direct,True
22,Sharon,Green,sharon.green22@example.com,CA,2022-01-01,organic,True
23,Angela,Thompson,angela.thompson23@example.com,AU,2022-04-01,organic,True
24,Mary,Wright,mary.wright24@example.com,CA,2022-03-17,email,True
25,Stephanie,Johnson,stephanie.johnson25@example.com,CA,2022-09-26,referral,True
26,Brenda,Perez,brenda.perez26@example.com,CA,2022-12-23,organic,True
27,Charles,Clark,charles.clark27@example.com,US,2024-01-05,direct,True
28,Christine,Thomas,christine.thomas28@example.com,AU,2022-03-22,direct,True
29,Eric,Harris,eric.harris29@example.com,UK,2022-11-10,paid_search,False
30,Jerry,Jackson,jerry.jackson30@example.com,JP,2024-05-05,referral,True
31,Jonathan,Perez,jonathan.perez31@example.com,UK,2022-05-03,direct,True
32,Emma,Harris,emma.harris32@example.com,CA,2022-03-05,direct,True
33,Christine,Johnson,christine.johnson33@example.com,CA,2023-04-06,direct,True
34,Carolyn,Nelson,carolyn.nelson34@example.com,UK,2022-11-08,referral,True
35,Patricia,Hernandez,patricia.hernandez35@example.com,UK,2022-11-29,email,True
36,Sarah,Perez,sarah.perez36@example.com,UK,2022-04-18,email,True
37,Mark,Torres,mark.torres37@example.com,CA,2022-04-06,social,False
38,Ashley,Wilson,ashley.wilson38@example.com,MX,2022-11-26,social,True
39,Nicholas,Garcia,nicholas.garcia39@example.com,US,2023-06-02,paid_search,True
40,Robert,Gonzalez,robert.gonzalez40@example.com,US,2023-08-02,paid_search,True
41,Kenneth,Garcia,kenneth.garcia41@example.com,CA,2023-07-22,email,True
42,Jonathan,Rodriguez,jonathan.rodriguez42@example.com,JP,2023-05-11,referral,True
43,Heather,Johnson,heather.johnson43@example.com,US,2024-01-01,email,False
44,Carol,Sanchez,carol.sanchez44@example.com,MX,2022-08-18,email,False
45,Brandon,Green,brandon.green45@example.com,US,2024-03-23,email,True
46,Amy,Perez,amy.perez46@example.com,AU,2023-08-22,organic,True
47,George,Robinson,george.robinson47@example.com,CA,2023-11-17,referral,True
48,Margaret,Roberts,margaret.roberts48@example.com,UK,2022-12-18,paid_search,True
49,Nancy,Harris,nancy.harris49@example.com,JP,2022-03-05,referral,True
50,Dorothy,Lopez,dorothy.lopez50@example.com,BR,2023-07-27,referral,True
51,Emily,Davis,emily.davis51@example.com,MX,2022-09-29,email,True
52,Michelle,Brown,michelle.brown52@example.com,CA,2022-02-22,email,True
53,Susan,Robinson,susan.robinson53@example.com,DE,2024-02-23,direct,True
54,Samuel,Lewis,samuel.lewis54@example.com,US,2024-05-11,referral,True
55,Brian,Thomas,brian.thomas55@example.com,AU,2023-04-12,email,True
56,Kimberly,Perez,kimberly.perez56@example.com,US,2022-07-06,organic,True
57,Gregory,Young,gregory.young57@example.com,AU,2022-05-16,referral,True
58,Jacob,Wright,jacob.wright58@example.com,US,2022-11-30,social,False
59,Mark,Hill,mark.hill59@example.com,BR,2022-02-02,referral,True
60,Scott,Roberts,scott.roberts60@example.com,US,2023-12-24,email,False
61,Mary,Lee,mary.lee61@example.com,AU,2023-01-31,paid_search,True
62,David,Taylor,david.taylor62@example.com,US,2022-06-22,referral,True
63,Jennifer,Hill,jennifer.hill63@example.com,US,2023-05-24,direct,True
64,Jennifer,Moore,jennifer.moore64@example.com,UK,2022-06-19,direct,False
65,Matthew,Martin,matthew.martin65@example.com,UK,2024-06-05,referral,True
66,Shirley,Garcia,shirley.garcia66@example.com,US,2023-03-30,email,True
67,Kimberly,Gonzalez,kimberly.gonzalez67@example.com,UK,2022-03-11,direct,False
68,Edward,Lewis,edward.lewis68@example.com,US,2022-03-03,email,True
69,Katherine,Ramirez,katherine.ramirez69@example.com,UK,2023-01-01,paid_search,True
70,Matthew,Wilson,matthew.wilson70@example.com,US,2022-02-08,paid_search,False
71,Elizabeth,Sanchez,elizabeth.sanchez71@example.com,MX,2022-01-27,organic,True
72,Michelle,Scott,michelle.scott72@example.com,US,2022-02-12,paid_search,True
73,Sharon,Hall,sharon.hall73@example.com,US,2022-07-10,social,True
74,Christine,Adams,christine.adams74@example.com,BR,2022-11-29,paid_search,True
75,Catherine,White,catherine.white75@example.com,JP,2022-06-06,referral,True
76,Mark,Allen,mark.allen76@example.com,FR,2023-03-22,referral,True
77,Deborah,Jones,deborah.jones77@example.com,MX,2023-05-24,organic,True
78,Jacob,Campbell,jacob.campbell78@example.com,AU,2022-04-20,paid_search,True
79,Amanda,Scott,amanda.scott79@example.com,DE,2022-01-18,referral,True
80,Andrew,White,andrew.white80@example.com,US,2023-02-04,organic,True
81,Dennis,Miller,dennis.miller81@example.com,DE,2023-11-12,social,True
82,Heather,Nelson,heather.nelson82@example.com,US,2023-01-29,paid_search,True
83,Jacob,Rodriguez,jacob.rodriguez83@example.com,BR,2024-06-02,organic,True
84,Barbara,Perez,barbara.perez84@example.com,US,2022-04-11,paid_search,True
85,Sharon,Gonzalez,sharon.gonzalez85@example.com,FR,2023-02-19,organic,True
86,Joseph,Robinson,joseph.robinson86@example.com,AU,2022-04-03,paid_search,True
87,Amanda,Lewis,amanda.lewis87@example.com,JP,2024-04-19,paid_search,True
88,Donald,Ramirez,donald.ramirez88@example.com,CA,2023-11-19,paid_search,True
89,Mary,Jackson,mary.jackson89@example.com,CA,2023-11-17,referral,True
90,Sandra,Brown,sandra.brown90@example.com,US,2023-07-18,organic,True
91,Ashley,Jackson,ashley.jackson91@example.com,US,2022-05-09,email,True
92,Nicole,Roberts,nicole.roberts92@example.com,FR,2024-05-30,email,True
93,Rebecca,Scott,rebecca.scott93@example.com,CA,2023-01-15,direct,True
94,Rebecca,Williams,rebecca.williams94@example.com,DE,2022-10-24,social,True
95,James,Thompson,james.thompson95@example.com,UK,2024-02-17,organic,True
96,William,Harris,william.harris96@example.com,AU,2022-07-08,email,True
97,Susan,Campbell,susan.campbell97@example.com,DE,2024-02-03,email,True
98,Samantha,Baker,samantha.baker98@example.com,US,2022-07-16,paid_search,True
99,Jason,Roberts,jason.roberts99@example.com,UK,2022-10-18,direct,False
100,Anna,Hernandez,anna.hernandez100@example.com,CA,2022-01-28,social,True
101,Maria,Green,maria.green101@example.com,FR,2022-06-15,paid_search,True
102,Richard,Rodriguez,richard.rodriguez102@example.com,AU,2023-09-12,organic,True
